City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Forecast
59,Peniche,PT,2021-04-04 21:31:22,39.3558,-9.3811,57.99,87,0,8.37,clear sky
60,Victoria,HK,2021-04-04 21:27:56,22.2855,114.1577,72.0,91,100,1.01,overcast clouds
61,Chuy,UY,2021-04-04 21:31:22,-33.6971,-53.4616,68.68,85,12,11.83,few clouds
62,Luis Correia,BR,2021-04-04 21:31:23,-2.8792,-41.6669,80.15,82,96,13.8,overcast clouds
63,Nikolskoye,RU,2021-04-04 21:31:23,59.7035,30.7861,39.0,81,0,6.71,clear sky
64,Mount Gambier,AU,2021-04-04 21:31:23,-37.8333,140.7667,57.2,67,80,10.36,broken clouds
65,Hobart,AU,2021-04-04 21:31:24,-42.8794,147.3294,55.99,71,40,5.75,scattered clouds
66,Pandan,PH,2021-04-04 21:31:24,14.0453,124.1694,79.79,72,97,7.23,overcast clouds
67,Concepcion Del Oro,MX,2021-04-04 21:31:24,24.6333,-101.4167,75.2,17,83,8.86,broken clouds
68,Mehamn,NO,2021-04-04 21:26:30,71.0357,27.8492,33.04,97,100,5.84,light snow
69,Hilo,US,2021-04-04 21:31:25,19.7297,-155.09,78.8,61,90,3.44,overcast clouds
70,Tazovskiy,RU,2021-04-04 21:31:25,67.4667,78.7,31.26,98,100,7.96,light snow
71,Dasoguz,TM,2021-04-04 21:31:25,41.8363,59.9666,48.2,71,0,9.22,clear sky
72,Ahipara,NZ,2021-04-04 21:31:26,-35.1667,173.1667,66.78,67,94,5.57,overcast clouds
73,Vao,NC,2021-04-04 21:31:26,-22.6667,167.4833,76.19,62,3,20.96,clear sky
74,Saint-Pierre,RE,2021-04-04 21:26:27,-21.3393,55.4781,77.0,78,0,6.91,clear sky
75,Upernavik,GL,2021-04-04 21:31:27,72.7868,-56.1549,-11.69,89,36,11.97,scattered clouds
76,Guiratinga,BR,2021-04-04 21:31:27,-16.3494,-53.7583,77.56,71,55,7.14,broken clouds
77,Arraial Do Cabo,BR,2021-04-04 21:31:27,-22.9661,-42.0278,77.0,78,40,4.61,scattered clouds
78,Pedernales,DO,2021-04-04 21:31:27,18.0384,-71.744,79.32,72,29,3.44,scattered clouds
79,Orzhytsya,UA,2021-04-04 21:31:28,49.7918,32.7012,39.4,79,38,4.85,scattered clouds
80,Bainbridge,US,2021-04-04 21:30:40,47.6262,-122.5212,48.2,49,90,9.22,overcast clouds
81,Vestmannaeyjar,IS,2021-04-04 21:31:28,63.4427,-20.2734,20.97,51,9,22.06,clear sky
82,Niny,RU,2021-04-04 21:31:29,44.4878,43.9489,49.39,73,100,4.61,overcast clouds
83,Port Elizabeth,ZA,2021-04-04 21:31:29,-33.918,25.5701,66.2,88,90,10.36,overcast clouds
84,Longyearbyen,SJ,2021-04-04 21:31:29,78.2186,15.6401,24.8,63,75,26.46,broken clouds
85,Dunedin,NZ,2021-04-04 21:31:30,-45.8742,170.5036,64.99,48,14,20.0,few clouds
86,College,US,2021-04-04 21:31:30,64.8569,-147.8028,34.0,64,90,13.8,light rain
87,Port Alfred,ZA,2021-04-04 21:31:30,-33.5906,26.891,68.56,81,63,12.55,broken clouds
88,Port Lincoln,AU,2021-04-04 21:31:31,-34.7333,135.8667,62.69,80,0,12.06,light rain
89,Camacha,PT,2021-04-04 21:31:31,33.0833,-16.3333,60.8,72,20,2.3,few clouds
90,Shingu,JP,2021-04-04 21:31:31,33.7333,135.9833,55.38,89,100,8.41,overcast clouds
91,Naro,IT,2021-04-04 21:31:32,37.2935,13.7936,55.0,89,90,1.01,overcast clouds
92,Morgantown,US,2021-04-04 21:30:03,39.6295,-79.9559,69.8,21,1,9.22,clear sky
93,Ugoofaaru,MV,2021-04-04 21:31:32,5.6667,73.0,83.82,67,72,12.86,broken clouds
94,Talara,PE,2021-04-04 21:31:32,-4.5772,-81.2719,87.8,48,0,12.66,clear sky
95,Horta,PT,2021-04-04 21:31:33,38.5333,-28.6333,60.8,94,75,17.27,broken clouds
96,Opochka,RU,2021-04-04 21:31:33,56.7105,28.6617,35.31,78,52,11.34,broken clouds
97,Saint-Denis,FR,2021-04-04 21:31:34,48.9167,2.3333,46.99,75,0,5.39,clear sky
98,Axim,GH,2021-04-04 21:31:34,4.8699,-2.2405,78.8,88,27,3.87,moderate rain
99,Princeton,US,2021-04-04 21:31:34,25.5384,-80.4089,75.2,43,20,14.97,few clouds
100,Bandarbeyla,SO,2021-04-04 21:31:35,9.4942,50.8122,77.92,79,50,2.08,scattered clouds
101,Yuanping,CN,2021-04-04 21:31:35,38.7153,112.7575,47.03,50,100,1.12,light rain
102,Hamilton,US,2021-04-04 21:30:07,39.1834,-84.5333,73.99,28,1,5.75,clear sky
103,New Norfolk,AU,2021-04-04 21:31:35,-42.7826,147.0587,55.99,67,65,1.99,broken clouds
104,Kichera,RU,2021-04-04 21:31:36,55.9375,110.0997,18.45,94,93,3.38,overcast clouds
105,Genhe,CN,2021-04-04 21:31:36,50.7833,121.5167,28.83,90,97,5.17,overcast clouds
106,Superior,US,2021-04-04 21:29:02,46.7208,-92.1041,61.0,53,1,9.22,clear sky
107,Hare Bay,CA,2021-04-04 21:31:37,48.8499,-54.0148,41.0,93,100,1.14,overcast clouds
108,Punta Arenas,CL,2021-04-04 21:31:37,-53.15,-70.9167,46.4,61,40,19.57,scattered clouds
109,Grammichele,IT,2021-04-04 21:31:37,37.2123,14.6397,55.4,88,75,2.3,broken clouds
110,Iqaluit,CA,2021-04-04 21:31:38,63.7506,-68.5145,8.6,78,20,2.3,few clouds
111,Buin,CL,2021-04-04 21:31:38,-33.7333,-70.75,72.0,55,74,4.61,broken clouds
112,Bethel,US,2021-04-04 21:31:38,41.3712,-73.414,60.8,25,1,13.8,clear sky
113,Nome,US,2021-04-04 21:31:39,64.5011,-165.4064,0.0,71,90,23.02,heavy snow
114,Maiduguri,NG,2021-04-04 21:31:39,11.8464,13.1603,82.6,12,35,9.13,scattered clouds
115,Aklavik,CA,2021-04-04 21:31:40,68.2191,-135.0107,14.0,67,100,5.75,overcast clouds
116,Moindou,NC,2021-04-04 21:31:40,-21.6924,165.677,75.2,73,0,6.91,clear sky
117,Sinnamary,GF,2021-04-04 21:31:40,5.3833,-52.95,77.67,88,100,9.51,overcast clouds
118,Gari,RU,2021-04-04 21:31:41,59.4307,62.3497,33.6,99,100,3.09,overcast clouds
119,Pevek,RU,2021-04-04 21:31:41,69.7008,170.3133,-9.22,94,97,9.33,overcast clouds
120,Castro,BR,2021-04-04 21:31:41,-24.7911,-50.0119,59.95,90,39,6.33,scattered clouds
121,Nanakuli,US,2021-04-04 21:31:41,21.3906,-158.1547,78.8,57,20,12.66,few clouds
122,Savannah Bight,HN,2021-04-04 21:31:42,16.45,-85.85,79.0,78,75,3.44,broken clouds
123,Jacareacanga,BR,2021-04-04 21:31:42,-6.2222,-57.7528,80.49,75,100,2.35,light rain
124,San Patricio,US,2021-04-04 21:31:42,28.017,-97.5169,75.2,60,75,13.8,broken clouds
125,West Bay,KY,2021-04-04 21:27:13,19.3667,-81.4167,82.4,61,75,18.41,broken clouds
126,Lazo,RU,2021-04-04 21:31:43,43.3817,133.9014,36.72,41,0,2.66,clear sky
127,Lighthouse Point,US,2021-04-04 21:26:51,26.2756,-80.0873,75.0,43,20,11.5,few clouds
128,Aksarka,RU,2021-04-04 21:31:44,66.5606,67.7975,28.98,98,100,5.93,light snow
129,Boa Vista,BR,2021-04-04 21:31:44,2.8197,-60.6733,80.6,83,90,11.5,moderate rain
130,Savonlinna,FI,2021-04-04 21:31:44,61.8699,28.88,37.4,60,0,17.27,clear sky
131,Broome,US,2021-04-04 21:31:45,42.2506,-75.833,55.99,37,75,14.97,broken clouds
132,Coahuayana,MX,2021-04-04 21:27:00,18.7333,-103.6833,84.2,45,40,9.22,scattered clouds
